مزرعه,روز ,گروه,longitude,latitude
01-22,شنبه,1,48.775708,31.593218
01-28,شنبه,1,48.785815,31.592482
02-03,شنبه,2,48.742486,31.596457
02-13,شنبه,2,48.729089,31.597671
02-19,شنبه,2,48.723132,31.5984
02-27,شنبه,2,48.712418,31.599372
03-08,شنبه,1,48.757886,31.58573
03-16,شنبه,1,48.766544,31.584765
03-18,شنبه,1,48.769229,31.584519
03-22,شنبه,1,48.774562,31.584025
03-30,یکشنبه,1,48.787314,31.583048
03-32,یکشنبه,1,48.789988,31.582802
04-01,یکشنبه,2,48.744039,31.586804
04-03,یکشنبه,2,48.741306,31.587052
04-05,یکشنبه,2,48.738659,31.587293
04-11,شنبه,2,48.732634,31.588026
04-15,شنبه,2,48.727248,31.588536
05-01,یکشنبه,1,48.746612,31.57751
05-06,دوشنبه,1,48.750875,31.567808
05-07,یکشنبه,1,48.75473,31.576771
05-10,دوشنبه,1,48.756231,31.56732
05-11,یکشنبه,1,48.760087,31.576284
05-15,یکشنبه,1,48.765431,31.575806
05-16,دوشنبه,1,48.766226,31.566614
05-18,دوشنبه,1,48.76699,31.566357
05-19,یکشنبه,1,48.772838,31.575307
05-20,دوشنبه,1,48.769651,31.566097
05-22,دوشنبه,1,48.774337,31.565856
05-30,دوشنبه,1,48.785005,31.564851
06-02,یکشنبه,2,48.742926,31.577845
06-03,دوشنبه,2,48.739048,31.568883
06-04,یکشنبه,2,48.740192,31.578093
06-05,دوشنبه,2,48.736401,31.569123
06-10,یکشنبه,2,48.73423,31.57882
06-11,دوشنبه,2,48.728336,31.569856
06-12,یکشنبه,2,48.729479,31.579067
06-16,دوشنبه,2,48.724209,31.57953
06-18,دوشنبه,2,48.721473,31.579815
07-08,سه شنبه,1,48.752442,31.558382
07-10,سه شنبه,1,48.757123,31.558141
07-12,سه شنبه,1,48.757797,31.557894
07-18,سه شنبه,1,48.767829,31.557159
08-01,دوشنبه,2,48.740637,31.559433
08-09,دوشنبه,2,48.729903,31.560409
08-17,سه شنبه,2,48.71921,31.561368
08-19,سه شنبه,2,48.718522,31.561628
08-25,سه شنبه,2,48.710524,31.562353
09-04,چهارشنبه,1,48.745934,31.549596
09-08,چهارشنبه,1,48.751289,31.549109
09-14,سه شنبه,1,48.759289,31.54838
09-16,سه شنبه,1,48.762068,31.54815
09-20,سه شنبه,1,48.7694,31.547645
10-01,سه شنبه,2,48.739487,31.550182
10-11,سه شنبه,2,48.726045,31.551404
10-13,سه شنبه,2,48.723399,31.551644
10-15,سه شنبه,2,48.722742,31.551891
10-23,سه شنبه,2,48.70998,31.552862
11-06,پنجشنبه,1,48.747445,31.540226
11-12,پنجشنبه,1,48.757481,31.539474
11-16,چهارشنبه,1,48.760917,31.539002
11-18,چهارشنبه,1,48.763639,31.538713
11-20,چهارشنبه,1,48.766215,31.538516
11-22,چهارشنبه,1,48.768861,31.538274
11-26,چهارشنبه,1,48.774215,31.537786
12-04,چهارشنبه,2,48.735634,31.541404
12-06,چهارشنبه,2,48.732988,31.541645
12-12,چهارشنبه,2,48.724925,31.542377
12-13,چهارشنبه,2,48.721146,31.533382
12-15,چهارشنبه,2,48.718469,31.533411
12-21,چهارشنبه,2,48.710425,31.534343
12-24,چهارشنبه,2,48.710907,31.543836
12-27,چهارشنبه,2,48.704405,31.535621
13-04,پنجشنبه,1,48.743665,31.531346
13-10,پنجشنبه,1,48.751664,31.530617
13-22,پنجشنبه,1,48.767725,31.529154
14-02,شنبه,4,48.7361,31.522914
14-07,شنبه,4,48.726867,31.514403
14-09,شنبه,4,48.724222,31.514643
14-16,شنبه,4,48.717352,31.524618
14-18,شنبه,4,48.716623,31.524866
14-19,شنبه,4,48.712853,31.515862
14-21,شنبه,4,48.710208,31.516102
14-24,شنبه,4,48.708646,31.525594
15-03,شنبه,3,48.742545,31.522328
15-04,شنبه,3,48.743438,31.513082
15-07,شنبه,3,48.747898,31.521841
15-08,یکشنبه,3,48.746748,31.512595
15-10,یکشنبه,3,48.749393,31.512354
15-11,شنبه,3,48.753251,31.521353
15-12,یکشنبه,3,48.754094,31.512081
15-17,شنبه,3,48.761367,31.520622
15-22,یکشنبه,3,48.767491,31.51089
15-24,یکشنبه,3,48.768158,31.510643
15-25,شنبه,3,48.771955,31.519648
15-27,شنبه,3,48.774229,31.519426
16-01,یکشنبه,4,48.734753,31.495441
16-03,یکشنبه,4,48.729957,31.495689
16-04,یکشنبه,4,48.731104,31.504929
16-07,یکشنبه,4,48.724606,31.496176
16-09,یکشنبه,4,48.721961,31.496416
16-12,یکشنبه,4,48.720399,31.505896
16-13,دوشنبه,4,48.718651,31.496902
16-22,یکشنبه,4,48.70705,31.507108
16-24,یکشنبه,4,48.704342,31.507354
16-27,دوشنبه,4,48.699892,31.498579
17-02,دوشنبه,3,48.738465,31.495104
17-08,دوشنبه,3,48.744482,31.494367
17-09,یکشنبه,3,48.750315,31.50336
17-11,یکشنبه,3,48.750982,31.503113
17-19,دوشنبه,3,48.761686,31.502138
17-24,دوشنبه,3,48.765867,31.492434
17-26,دوشنبه,3,48.768533,31.492175
17-27,دوشنبه,3,48.772324,31.500955
18-02,سه شنبه,4,48.731552,31.486458
18-03,سه شنبه,4,48.727697,31.477473
18-06,دوشنبه,4,48.726198,31.486947
18-10,دوشنبه,4,48.720847,31.487434
18-13,سه شنبه,4,48.714351,31.478686
18-16,دوشنبه,4,48.712832,31.488162
18-17,سه شنبه,4,48.708957,31.479176
18-18,دوشنبه,4,48.710101,31.48841
18-24,دوشنبه,4,48.704129,31.489137
18-26,دوشنبه,4,48.701485,31.489377
19-05,دوشنبه,3,48.740659,31.485631
19-04,چهارشنبه,3,48.736868,31.476638
19-08,چهارشنبه,3,48.742219,31.476151
19-13,سه شنبه,3,48.753403,31.484656
19-15,سه شنبه,3,48.754124,31.484399
19-18,سه شنبه,3,48.755699,31.47488
19-19,سه شنبه,3,48.759419,31.483922
19-21,سه شنبه,3,48.762063,31.483681
19-22,سه شنبه,3,48.762865,31.476455
19-23,سه شنبه,3,48.76477,31.483434
19-25,سه شنبه,3,48.767414,31.483192
20-05,چهارشنبه,4,48.724836,31.459515
20-06,چهارشنبه,4,48.723938,31.468731
20-08,چهارشنبه,4,48.721232,31.468977
20-09,چهارشنبه,4,48.717507,31.460276
20-12,چهارشنبه,4,48.715882,31.469463
20-13,چهارشنبه,4,48.714088,31.461797
20-14,چهارشنبه,4,48.713238,31.469703
20-24,سه شنبه,4,48.699831,31.470921
20-26,سه شنبه,4,48.699229,31.471161
20-28,سه شنبه,4,48.694473,31.471369
21-03,چهارشنبه,3,48.735753,31.467655
21-09,چهارشنبه,3,48.743747,31.466928
21-15,چهارشنبه,3,48.751786,31.466212
22-05,پنجشنبه,4,48.720865,31.449558
22-17,پنجشنبه,4,48.709737,31.45786
22-21,پنجشنبه,4,48.705017,31.461337
23-07,چهارشنبه,3,48.740853,31.449091
23-11,چهارشنبه,3,48.744078,31.448378
23-13,چهارشنبه,3,48.74688,31.450136
24-03,پنجشنبه,4,48.713667,31.43707
24-04,پنجشنبه,4,48.714569,31.445983
24-08,پنجشنبه,4,48.707391,31.447093
24-11,پنجشنبه,4,48.700694,31.438168
24-15,پنجشنبه,4,48.695322,31.438717
25-03,پنجشنبه,3,48.725837,31.444494
25-07,پنجشنبه,3,48.73025,31.442161
25-09,پنجشنبه,3,48.732391,31.44061
25-13,پنجشنبه,3,48.740971,31.437544
26-02,پنجشنبه,2,48.712792,31.427019
26-08,پنجشنبه,2,48.706911,31.427816
26-09,پنجشنبه,2,48.700919,31.419888
26-14,پنجشنبه,2,48.696682,31.428623
26-15,پنجشنبه,2,48.694788,31.420752
26-18,پنجشنبه,2,48.691303,31.429179
27-01,پنجشنبه,3,48.717987,31.437501
29-02,پنجشنبه,3,48.716572,31.418526
