اداره,سن,CP69,CP73,CP48,CP57,CP65,CP70,IR01-412,IRC99-07,IRC00-14,Grand Total,درصد
1,P,255.33,139.52,0,46.87,23.04,0,23.35,0,22.97,511.08,0.242891429
,R1,175.95,134.82,93.41,23.16,0,0,5.54,0,0,432.88,0.205726778
,R2,241.35,187.88,46.57,22.9,0,0,0,0,0,498.7,0.237007818
,R3,117.09,22.99,0,0,0,0,0,0,0,140.08,0.066573201
,R4,334.33,45.54,0,0,0,0,0,0,0,379.87,0.180533707
,R5,45.73,0,0,0,0,0,0,0,0,45.73,0.021733241
,R6,95.81,0,0,0,0,0,0,0,0,95.81,0.045533826
,total,1265.59,530.75,139.98,92.93,23.04,0,28.89,0,22.97,2104.15,1
2,P,414.52,140.59,0,0,24.53,0,0,0,0,579.64,0.272446111
,R1,215.38,305.15,117.9,46.98,0,0,0,0,0,685.41,0.322160805
,R2,217.75,236.33,94.43,23.59,0,0,0,0,0,572.1,0.268902112
,R3,133.61,0,0,0,0,0,0,0,0,133.61,0.062800229
,R4,43.67,0,0,0,0,0,0,0,0,43.67,0.020526054
,R5,113.11,0,0,0,0,0,0,0,0,113.11,0.053164688
,total,1138.04,682.07,212.33,70.57,24.53,0,0,0,0,2127.54,1
3,P,193.31,70.23,0,23.77,0,0,0,0,0,287.31,0.129164662
,R1,196.11,47.12,211.66,0,23.7,10.16,0,0,0,488.75,0.219725136
,R2,274.15,288.59,117.71,0,6,1.88,0,0,0,688.33,0.309449417
,R3,134.49,93.41,0,0,0,0,0,0,0,227.9,0.102455976
,R4,248.66,70.69,7.5,0,0,0,0,0,0,326.85,0.146940482
,R5,119.62,54.68,15.41,0,0,0,0,0,0,189.71,0.08528707
,R8,15.52,0,0,0,0,0,0,0,0,15.52,0.006977256
,total,1181.86,624.72,352.28,23.77,29.7,12.04,0,0,0,2224.37,1
4,P,518.86,63.17,71.35,0,37.57,0,23.51,23.5,0,737.96,0.248870243
,R1,409.4,205.91,236.64,70.59,0,0,0,0,0,922.54,0.311118156
,R2,217.64,303.62,117.96,47.72,0,0,0,0,0,686.94,0.231664216
,R3,134.1,0,0,0,0,0,0,0,0,134.1,0.045223995
,R4,73.67,0,0,0,0,0,0,0,0,73.67,0.024844532
,R5,358.86,47.51,0,0,0,0,0,0,0,406.37,0.137044556
,R9,3.66,0,0,0,0,0,0,0,0,3.66,0.001234301
,total,1716.19,620.21,425.95,118.31,37.57,0,23.51,23.5,0,2965.24,1
Grand Total,,5301.68,2457.75,1130.54,305.58,114.84,12.04,52.4,23.5,22.97,9421.3,1


تولید,سن,CP69,CP73,CP48,CP57,CP65,CP70,IR01-412,IRC99-07,IRC00-14,Grand Total,درصد
1,P,669.85,280.11,0,46.87,47.57,0,23.35,0,22.97,1090.72,0.25775045
,R1,391.33,439.97,211.31,70.14,0,0,5.54,0,0,1118.29,0.264265577
,R2,459.1,424.21,141,46.49,0,0,0,0,0,1070.8,0.25304311
,R3,250.7,22.99,0,0,0,0,0,0,0,273.69,0.064676288
,R4,378,45.54,0,0,0,0,0,0,0,423.54,0.100087672
,R5,158.84,0,0,0,0,0,0,0,0,158.84,0.037535831
,R6,95.81,0,0,0,0,0,0,0,0,95.81,0.022641072
,total,2403.63,1212.82,352.31,163.5,47.57,0,28.89,0,22.97,4231.69,1
2,P,712.17,133.4,71.35,23.77,37.57,0,23.51,23.5,0,1025.27,0.197562052
,R1,605.51,253.03,448.3,70.59,23.7,10.16,0,0,0,1411.29,0.271945291
,R2,491.79,592.21,235.67,47.72,6,1.88,0,0,0,1375.27,0.265004499
,R3,268.59,93.41,0,0,0,0,0,0,0,362,0.06975476
,R4,322.33,70.69,7.5,0,0,0,0,0,0,400.52,0.077177283
,R5,478.48,102.19,15.41,0,0,0,0,0,0,596.08,0.114860269
,R8,15.52,0,0,0,0,0,0,0,0,15.52,0.002990591
,R9,3.66,0,0,0,0,0,0,0,0,3.66,0.000705255
,total,2898.05,1244.93,778.23,142.08,67.27,12.04,23.51,23.5,0,5189.61,1
دهخدا,P,1382.02,413.51,71.35,70.64,85.14,0,46.86,23.5,22.97,2115.99,0.224596393
,R1,996.84,693,659.61,140.73,23.7,10.16,5.54,0,0,2529.58,0.268495855
,R2,950.89,1016.42,376.67,94.21,6,1.88,0,0,0,2446.07,0.259631898
,R3,519.29,116.4,0,0,0,0,0,0,0,635.69,0.067473703
,R4,700.33,116.23,7.5,0,0,0,0,0,0,824.06,0.087467759
,R5,637.32,102.19,15.41,0,0,0,0,0,0,754.92,0.080129069
,R6,95.81,0,0,0,0,0,0,0,0,95.81,0.01016951
,R7,0,0,0,0,0,0,0,0,0,0,0
,R8,15.52,0,0,0,0,0,0,0,0,15.52,0.001647331
,R9,3.66,0,0,0,0,0,0,0,0,3.66,0.000388481
Grand Total,,5301.68,2457.75,1130.54,305.58,114.84,12.04,52.4,23.5,22.97,9421.3,1
